BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459761.832812,0.91719,0.00396,1.1825,2.48,2.56,11.59,6429
2459761.833450,0.91743,0.00393,1.1846,0.39,-0.04,11.50,7103
2459761.834065,0.92307,0.00408,1.1867,-1.98,-1.71,12.54,5249
2459761.834681,0.92343,0.00411,1.1888,-2.30,-0.55,12.92,4810
2459761.835298,0.92453,0.00419,1.1909,-0.47,0.13,13.63,4241
2459761.835913,0.92475,0.00415,1.1931,3.49,-2.02,14.20,4601
2459761.836529,0.92665,0.00407,1.1953,-0.62,-0.15,12.80,5211
2459761.837144,0.92475,0.00422,1.1975,-2.50,-2.38,13.88,4508
2459761.837766,0.91934,0.00401,1.1997,-0.63,0.75,11.87,6018
2459761.838380,0.92271,0.00411,1.2019,4.42,1.96,12.24,5538
2459761.838995,0.92743,0.00418,1.2042,1.24,1.07,12.75,4616
2459761.839617,0.92491,0.00419,1.2065,0.01,-3.24,12.93,4866
2459761.840233,0.91710,0.00409,1.2088,-1.58,-0.73,12.67,6400
2459761.840847,0.91966,0.00421,1.2111,-0.59,-0.38,11.65,5385
2459761.841469,0.91975,0.00438,1.2135,3.14,0.61,13.26,4418
2459761.842084,0.92300,0.00441,1.2159,0.16,0.32,12.67,5018
2459761.842699,0.91834,0.00448,1.2183,-2.57,-0.43,13.12,4188
2459761.843321,0.92023,0.00441,1.2207,0.23,1.11,11.02,5091
2459761.843935,0.92825,0.00447,1.2231,2.78,-0.34,13.46,4032
2459761.844549,0.92566,0.00429,1.2256,0.98,-0.00,12.22,5314
2459761.845171,0.92722,0.00426,1.2281,-0.74,-0.46,12.13,5713
2459761.845785,0.91775,0.00414,1.2306,-0.50,-0.72,11.59,6748
2459761.846407,0.92361,0.00417,1.2331,-2.15,-0.89,12.66,5374
2459761.847022,0.92223,0.00415,1.2357,3.75,0.66,12.18,5298
2459761.847637,0.91999,0.00425,1.2383,-1.62,0.62,12.65,5152
2459761.848259,0.92284,0.00443,1.2409,-1.64,-0.49,12.55,4436
2459761.848886,0.92169,0.00428,1.2436,2.22,-1.23,13.23,4961
2459761.849501,0.92429,0.00433,1.2462,0.94,0.84,14.65,3556
2459761.850122,0.93061,0.00465,1.2489,-0.33,-0.82,15.16,3204
