BJD_TDB flux_star_0 flux_star_1 flux_star_2 flux_star_3 flux_star_4 flux_star_5 flux_star_6 flux_star_7 flux_star_8 flux_star_9 flux_star_10 flux_star_11 flux_star_12 flux_star_13 flux_star_14 flux_star_15 flux_star_16 flux_star_17 flux_star_18 flux_star_19 flux_star_20 flux_star_21 flux_star_22 flux_star_23 flux_star_24 flux_star_25 flux_star_26 flux_star_27 flux_star_28 flux_star_29 flux_star_30 flux_star_31 flux_star_32 flux_star_33 flux_star_34 flux_star_35 flux_star_36 sky airmass xshift yshift sky_entropy
2460075.4043823336 47635.144364062304 1978696.3452082444 375331.6266625701 311591.2499174744 190993.26790616612 43290.849348668286 35304.63135008006 20795.61363836314 15807.202760606597 16298.730908884987 10951.39844387563 8881.524914138412 7959.934034707025 13870.890641981066 5015.865520963285 4731.820153249908 25995.95665448114 6121.495035788583 6189.120805275132 2776.197189227285 3345.5164841984224 1798.7904786985164 2969.139171728719 2874.3892165101133 1279.4156760281767 1736.877830978803 2679.4456781409826 16065.068945316089 26.387521089156508 1660.7709473867872 1767.4339958992932 7954.601178878715 -40.74386316543678 1149.448577094372 566.5266895494424 1201.4215955208201 504.3758793673478 4.942698059491597 1.009 6.605321868356498 -4.178053095078241 6.772015140624712
2460075.4050860875 47934.53449813537 1968424.2535425976 372473.7850323307 310268.3930305209 190227.4977536202 41726.51502440013 35201.76617568861 20241.978789191344 15943.950702420421 14874.914917850343 10640.53927410455 8820.484851833768 9179.71145270286 15036.060918721661 5965.179365467498 3859.6839282991277 26722.526721689865 5672.56436197579 6713.524881448859 2146.230805553976 3431.6888691342174 2193.751150185766 3758.321934953521 2315.3928601987864 1673.0873535918363 2362.155040627593 2100.7454580442864 19385.300073409206 816.1847580695758 996.5831620106474 1113.6968296832201 7646.066296847173 663.6688861489529 712.8830993630254 -804.593759575102 428.7511714934808 796.2712060897466 4.928704993875127 1.009 7.036962586088198 -3.7173811616113426 6.730500443320012
2460075.4057900193 47928.051427344035 1993879.267529622 376430.5740805755 314806.24164978357 193592.47609409073 43006.04056308532 36199.01367088812 19957.144027973787 16484.363989489866 15650.388019025791 11414.297227637508 9164.590067769444 8366.35991774546 14516.18524168717 5261.417610200777 4044.9757231953554 25900.816217181826 4901.298698564569 6948.278130018152 2653.261858292797 3484.0545723388495 2028.4916505903966 3430.4290813844564 1808.7304409773933 1479.0184042995388 2182.576215170877 2008.6385515011061 14365.141132485354 6.760460139033967 1429.528825666217 2055.960461427676 7898.044951219126 797.4064925595012 368.20815019635484 416.2239493232337 603.7654228497413 339.2466912854143 4.877019212555579 1.009 6.0525367229444 -3.9888310356971792 6.765733617774117
2460075.406493775 47999.86925160677 2003629.3188717063 379122.54780838644 316775.7546408819 193878.00766485708 42706.36030479349 35419.08644193552 20804.95998120171 16192.751227615809 16776.99710279313 11284.97794808526 9025.068574966586 8069.045515687743 14372.149098399663 5553.746451320694 4504.973050543806 25534.088445009445 4941.032446174257 7054.801669540626 3024.97594013052 3320.609433785852 1985.9240554682474 2959.2388207782933 2289.708853264223 1622.7368118863524 2152.185101702489 1728.4621915861499 15537.829243334476 180.53864972430165 533.086070244739 1187.0599166183092 7112.014160820589 600.1561715478456 1253.1417374714802 -883.6631204389414 -367.65233700699173 449.6091039805906 4.927097341464446 1.009 7.681213962673287 -3.8762798771031064 6.580501400393751
2460075.407197653 46682.00423165648 1929880.011735984 365070.680124012 302886.6311852863 186684.5196777429 41084.5731843377 34197.17641728245 19812.874160909167 15253.643369258338 15598.239313352344 11164.593472962704 8886.332380333464 8430.289967553996 13707.641819901954 4414.813306027267 4247.831107701626 24707.915516948342 5541.352839726416 6533.944617868881 2579.321161345142 3363.6917766528495 1741.172595602853 2499.0589020155894 2533.870479137375 1237.4395135669765 2476.0573365425225 1683.306696535743 20613.93145332887 714.4133181713114 1239.2728148193855 1461.7961017645575 7304.192028747362 231.34821245726198 798.8584358665394 88.81003325231723 781.4641459871345 -302.9814098785573 4.989668320577468 1.009 8.514132204261292 -4.353420806713672 6.8382379437836365
2460075.407901551 47922.48173584996 1968892.2978648308 371940.70711468335 311109.14283461834 190768.63368513726 42145.97467045978 35173.20426064056 20917.893352799 15653.93522789779 15333.708220860135 10866.581832668438 8929.037853704023 8356.868309905913 14540.308141025336 5144.929256844043 4864.28928138857 27367.338012278895 5575.411931387251 7063.491465170169 2848.348450068006 3235.761635129238 2228.796745115731 3814.236853933835 3066.9316418929666 1783.977821661887 1592.555531144375 2073.274196016864 11374.374378013585 883.5872720055195 1258.3595124246203 1904.6316828553972 7534.792049845055 403.25350069048 1031.1643195023207 938.3115479242697 199.10267913791176 611.3630645808735 5.0017263827273695 1.009 5.3743156799915255 -4.992789898924637 6.603187859968517
2460075.408605301 47484.52328599448 1966180.1655734098 371549.8765049246 309977.1279683866 190148.03464133965 42248.630660821436 35195.26292417967 19673.940823906116 15759.505921940377 16021.220740635166 10175.323616217269 9119.934673215466 8443.37578543996 13171.396000795226 4717.46823559473 3840.916371575382 25328.889707262017 4549.450259612015 6865.957097217441 2517.7062335242517 3758.4648204746627 2615.8595907329873 3428.6434299943066 3228.9027164972067 807.4952225736051 2369.9483168405277 1417.7408752719348 9617.022600917073 83.00502042441803 2161.144345035107 433.6281079180917 8311.182326616195 555.7349434605567 1437.1310348845436 -77.6726014916203 308.00560788688017 67.17403097209171 4.943542184827273 1.009 6.553796536741875 -4.0591070584491815 6.690223833208247
2460075.4093093015 47444.147391542894 1982475.4772547185 375987.4562250343 312550.91738032806 191626.80910092854 42904.69681251161 35266.67842535493 20585.157462811374 16296.3900668477 15235.871616570235 11173.305059274659 9831.41062859181 8297.452635156427 14384.369212001751 5211.655219726206 5363.627661536913 26265.26976568291 5241.6305610947165 7000.002257762506 2549.10211612923 3656.400689922899 2367.54063657354 3304.5962064737832 2302.8935816478916 2161.3003216440993 1634.1026228471164 1460.8600348116306 11584.396476836453 387.71113010370755 1674.3744797656836 1514.8418362943776 8192.51581105731 290.21034585579764 1160.2488667058497 348.57315215072595 996.3485464559199 391.46927318414964 4.9241482226435505 1.009 7.681033338902883 -4.240014701739246 6.603184602955786
2460075.4100131984 48782.993222821926 2008476.600775677 380235.57947591523 317018.92577185633 194655.81148415944 43544.280684241865 35569.690253644425 21427.901013776078 16423.531587253237 15882.587235368032 11825.436070787066 9121.281924861963 8558.708340876503 14600.815602309624 4771.825714534192 4738.165902804234 27647.345412760507 5458.675179983853 7510.279044579918 2953.578003995237 3514.891147424234 2165.481257529187 3108.5519771912805 2673.459578910304 1751.0396150173328 1819.9562757242093 2364.573066137891 11986.93867355505 121.93922470565303 1259.2978985880036 201.07523449468135 8275.973725336633 142.9770203201915 724.012736788136 -29.77781358185166 1201.8335066566215 518.5588983262132 4.869952257788422 1.009 8.983528145275367 -3.944388127684789 6.534267658310423
2460075.4107170445 48660.402657789135 1997813.435337691 378673.9768254758 314734.6264356758 193592.8034503943 42474.08771414998 34334.29856887227 20666.146799539405 15487.998559936721 15569.522118857218 11270.984892227047 9613.622033332504 8464.689830968127 14011.23113372679 5052.187234414232 4696.497207747976 27120.010047015254 4737.814775825464 6659.157175240791 2968.0082550506922 3305.875994306931 3203.0251889875217 3694.4317097281455 2514.822477987487 629.4238781913009 2672.643627228492 1447.0136345917854 16134.48100460165 685.5948323379125 1325.438510432723 1048.3247913233645 7796.796383548557 838.8875026895112 1534.046682534463 299.5171342360263 889.9233495472872 485.35432730246976 4.840142209637564 1.009 8.894104322294083 -4.310565950013104 6.623351733333659
