BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459761.864715,1.00245,0.00756,1.3204,-1.10,-0.51,10.77,1968
2459761.865356,0.99159,0.00750,1.3239,-1.81,0.61,10.16,2039
2459761.866005,0.99016,0.00752,1.3275,-0.86,0.34,12.40,1956
2459761.866647,0.99749,0.00766,1.3311,1.43,1.03,11.18,1849
2459761.867303,0.99804,0.00793,1.3348,-0.56,0.26,11.84,1634
2459761.867945,1.00430,0.00772,1.3384,-2.53,-0.25,10.64,1902
2459761.868587,1.00000,0.00773,1.3421,-2.55,0.02,11.57,1814
2459761.869228,1.01390,0.00856,1.3458,2.15,0.96,14.81,1425
2459761.869870,1.01637,0.00768,1.3496,-0.09,0.58,10.38,2127
2459761.870511,1.00662,0.00765,1.3534,1.28,-2.69,11.20,1907
2459761.871152,1.00060,0.00745,1.3572,-1.72,1.56,9.91,2394
2459761.871793,1.00770,0.00741,1.3611,2.50,0.18,9.73,2422
2459761.872434,1.00322,0.00734,1.3650,2.42,0.70,9.57,2237
2459761.873075,1.01236,0.00678,1.3689,-1.42,-0.53,8.39,3040
2459761.873723,1.00621,0.00694,1.3730,-0.49,0.44,10.03,2436
2459761.874399,1.01003,0.00759,1.3772,0.36,0.72,12.05,1940
2459761.875040,1.01338,0.00690,1.3813,1.09,0.24,8.86,2711
2459761.875681,0.99413,0.00684,1.3854,-0.81,-1.12,9.71,2556
2459761.876336,1.00807,0.00702,1.3896,-1.04,-0.03,9.99,2452
2459761.876971,0.99770,0.00715,1.3938,-0.28,1.61,11.04,2192
2459761.877611,1.00758,0.00696,1.3980,1.60,1.14,10.13,2415
2459761.878252,1.00856,0.00703,1.4022,-0.41,-0.56,9.65,2514
2459761.878892,1.01215,0.00713,1.4065,-1.28,0.85,10.46,2313
2459761.879532,1.02156,0.00768,1.4109,-0.47,0.84,11.28,1922
2459761.880173,0.99490,0.00751,1.4153,-1.48,0.38,12.07,1981
2459761.880814,1.00088,0.00705,1.4197,-0.69,-0.23,9.28,2464
2459761.881461,1.01564,0.00722,1.4242,-1.90,0.80,9.80,2213
2459761.882102,1.00368,0.00711,1.4288,-0.03,1.14,9.71,2452
2459761.882742,1.00618,0.00712,1.4333,2.94,0.49,8.89,2435
2459761.883383,1.01365,0.00686,1.4379,0.01,0.28,8.71,2748
2459761.884024,1.00846,0.00656,1.4426,0.00,-0.28,7.89,3198
2459761.884664,1.00840,0.00669,1.4473,-1.17,1.37,9.03,2987
2459761.885304,1.01428,0.00694,1.4520,2.05,0.98,11.25,2591
2459761.885944,1.01783,0.00662,1.4568,1.09,0.73,7.54,3706
2459761.886584,1.00886,0.00647,1.4617,-0.85,-0.80,7.68,3590
2459761.887224,1.01831,0.00658,1.4666,-1.77,1.23,9.30,3405
2459761.887864,1.00529,0.00677,1.4715,0.97,0.88,9.64,2888
2459761.888518,1.00328,0.00659,1.4766,0.35,0.38,9.79,3366
2459761.889165,1.01118,0.00665,1.4817,-0.88,-0.34,8.89,2990
2459761.889812,0.99301,0.00655,1.4869,-1.22,0.81,8.10,2937
2459761.890452,1.00614,0.00666,1.4920,1.72,-0.02,10.29,2612
2459761.891093,1.01432,0.00680,1.4972,0.27,1.28,8.86,2848
2459761.891732,1.00955,0.00690,1.5024,-1.58,-0.12,8.50,2975
2459761.892372,1.00861,0.00680,1.5077,-0.38,1.18,9.25,2681
2459761.893011,1.00466,0.00685,1.5131,2.26,1.67,10.51,2665
2459761.893672,1.01090,0.00666,1.5187,1.24,1.47,8.63,2939
2459761.894312,1.01036,0.00698,1.5241,-1.18,-0.11,10.10,2473
2459761.894965,1.00022,0.00725,1.5298,-1.28,0.42,11.88,2246
2459761.895604,1.00437,0.00699,1.5353,0.34,1.20,11.59,2621
2459761.896244,1.02591,0.00729,1.5410,2.42,-0.65,9.66,2215
2459761.896884,1.01366,0.00691,1.5467,-0.88,0.66,9.37,2591
2459761.897524,1.01331,0.00713,1.5524,-1.58,0.67,10.29,2295
2459761.898162,1.01393,0.00701,1.5582,-0.20,0.12,9.14,2605
2459761.898808,1.01614,0.00741,1.5641,2.73,0.82,9.88,2061
2459761.899447,1.01922,0.00712,1.5701,0.35,0.48,10.01,2466
2459761.900101,1.01259,0.00716,1.5762,-1.71,0.39,10.46,2233
2459761.900739,1.00507,0.00701,1.5822,-0.82,1.25,9.09,2509
2459761.901378,1.02041,0.00703,1.5884,3.82,0.39,10.02,2473
2459761.902024,1.01699,0.00700,1.5946,-0.19,0.61,9.46,2699
2459761.902663,1.01662,0.00696,1.6008,-1.97,1.22,9.27,2765
2459761.903302,1.01327,0.00719,1.6071,-2.02,1.49,10.01,2525
2459761.904580,1.01600,0.00672,1.6200,-0.25,1.01,8.87,3403
2459761.905254,1.00397,0.00705,1.6268,-1.77,0.72,8.58,2747
2459761.905893,1.00188,0.00679,1.6334,0.20,0.25,8.05,3240
2459761.906538,1.01145,0.00705,1.6401,1.06,0.93,10.27,2730
2459761.907177,0.99991,0.00679,1.6469,1.13,1.35,8.41,2921
2459761.907822,1.00914,0.00694,1.6537,-1.10,0.00,9.11,2603
2459761.908460,1.01396,0.00707,1.6606,-1.07,1.19,9.16,2592
2459761.909098,1.01222,0.00679,1.6676,2.46,0.24,8.91,2994
2459761.909744,1.00678,0.00715,1.6746,0.60,0.09,9.39,2359
2459761.910412,1.00279,0.00681,1.6821,-0.31,0.15,8.73,2739
2459761.911051,1.00177,0.00714,1.6892,-1.28,1.26,9.89,2463
2459761.911690,1.01438,0.00724,1.6966,1.93,1.29,10.86,2252
2459761.912335,1.00445,0.00713,1.7039,0.02,1.60,10.41,2549
2459761.912974,1.01328,0.00740,1.7113,-0.15,1.28,11.21,2088
2459761.913619,1.00772,0.00747,1.7189,-1.41,0.96,9.18,2304
2459761.914256,1.01433,0.00765,1.7265,1.28,1.86,10.68,2030
2459761.914894,1.02578,0.00733,1.7342,2.42,-0.22,8.40,2692
