BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459761.823348,0.93164,0.00608,1.1532,0.75,0.33,7.60,2739
2459761.823754,0.92263,0.00600,1.1544,3.46,1.80,7.56,2869
2459761.824172,0.92219,0.00602,1.1556,0.06,1.53,7.90,2798
2459761.824578,0.92760,0.00613,1.1568,1.70,0.69,7.48,2785
2459761.824996,0.92780,0.00576,1.1580,-2.41,-1.35,7.16,3439
2459761.825402,0.92885,0.00583,1.1592,-0.42,-1.08,6.78,3491
2459761.825819,0.91353,0.00600,1.1604,-0.27,0.61,8.59,2533
2459761.826226,0.91339,0.00590,1.1616,-0.41,-0.60,7.81,2882
2459761.826632,0.92149,0.00600,1.1629,4.25,1.08,8.92,2430
2459761.827049,0.92511,0.00591,1.1641,1.03,0.17,7.75,2882
2459761.827455,0.92176,0.00579,1.1654,-0.40,0.53,7.38,3256
2459761.827861,0.92742,0.00572,1.1666,-2.41,-1.47,6.93,3662
2459761.828279,0.92312,0.00564,1.1679,-1.22,-0.95,7.21,3553
2459761.828685,0.92340,0.00567,1.1692,0.00,0.15,7.27,3641
2459761.829091,0.91288,0.00561,1.1705,-2.02,-0.57,7.35,3486
2459761.829508,0.92002,0.00568,1.1718,3.75,1.82,8.07,3166
2459761.829914,0.91961,0.00544,1.1731,2.28,1.51,6.24,4454
2459761.830331,0.91785,0.00551,1.1744,-0.07,-1.00,6.75,3979
2459761.830737,0.91708,0.00556,1.1757,-1.00,-0.22,7.16,3619
2459761.831154,0.92197,0.00542,1.1770,-0.85,-1.80,6.10,4732
2459761.831560,0.92139,0.00591,1.1784,-1.78,-0.16,8.12,2825
2459761.831977,0.91766,0.00577,1.1798,-0.97,0.59,6.66,3576
2459761.832383,0.91986,0.00560,1.1811,1.02,0.67,7.80,3649
2459761.832800,0.92296,0.00573,1.1825,2.78,1.71,6.47,3563
2459761.833205,0.92810,0.00593,1.1839,-0.17,0.26,7.44,2903
2459761.833611,0.91646,0.00564,1.1852,0.51,0.28,6.51,3577
2459761.834027,0.91841,0.00618,1.1866,-1.89,-1.17,8.97,2339
2459761.834433,0.91751,0.00600,1.1880,-0.57,-1.66,7.95,2567
2459761.834839,0.92075,0.00628,1.1894,-1.53,0.51,8.60,2128
2459761.835256,0.92522,0.00618,1.1909,0.28,0.95,8.41,2302
2459761.835662,0.91893,0.00613,1.1923,4.08,0.37,7.92,2396
2459761.836070,0.92271,0.00585,1.1937,-0.05,-0.56,7.35,3056
2459761.836488,0.91485,0.00599,1.1952,1.04,-0.56,8.01,2464
2459761.836894,0.92225,0.00618,1.1966,-3.44,-2.82,8.67,2266
2459761.837301,0.92090,0.00637,1.1981,-1.04,-1.50,8.95,2170
2459761.837710,0.90140,0.00573,1.1996,-1.87,0.48,7.82,3153
2459761.838139,0.92343,0.00677,1.2011,0.71,0.58,12.57,1872
2459761.838551,0.91300,0.00586,1.2026,5.75,0.55,7.00,3161
2459761.838957,0.93127,0.00627,1.2041,0.15,0.23,8.15,2343
2459761.839363,0.91576,0.00622,1.2056,-1.46,-0.43,9.27,2163
2459761.839772,0.92344,0.00610,1.2071,0.00,-2.15,7.27,2754
2459761.840190,0.91720,0.00585,1.2087,-1.50,-0.61,7.60,3221
2459761.840598,0.91870,0.00612,1.2102,-0.38,-1.20,7.76,2667
2459761.841005,0.92156,0.00611,1.2118,2.08,0.11,7.95,2913
2459761.841423,0.91627,0.00652,1.2134,4.09,1.25,9.00,2051
2459761.841829,0.91474,0.00655,1.2149,0.31,0.85,8.64,2095
2459761.842247,0.91402,0.00630,1.2165,1.10,-0.78,7.73,2545
2459761.842653,0.91774,0.00668,1.2181,-3.46,-0.82,9.67,2008
2459761.843059,0.92710,0.00628,1.2197,1.93,-0.27,6.79,3146
2459761.843488,0.91206,0.00651,1.2214,-1.14,0.54,8.80,2449
2459761.843896,0.92470,0.00665,1.2230,0.77,0.99,9.77,2154
2459761.844307,0.92173,0.00615,1.2247,3.00,0.44,7.52,3015
2459761.844717,0.91875,0.00633,1.2263,2.39,-1.16,8.14,2418
2459761.845146,0.92737,0.00619,1.2280,-0.79,-0.09,8.22,2673
2459761.845554,0.92573,0.00583,1.2297,-1.30,-1.76,7.08,3834
2459761.845960,0.92257,0.00598,1.2314,-1.45,-0.64,8.11,2896
2459761.846378,0.92480,0.00609,1.2330,-2.23,-1.10,8.47,2480
2459761.846785,0.93029,0.00613,1.2348,3.40,1.32,9.15,2509
2459761.847190,0.92720,0.00606,1.2365,2.66,-0.78,7.18,2813
2459761.847607,0.92607,0.00640,1.2382,-1.86,-0.04,9.79,2168
2459761.848013,0.92279,0.00620,1.2399,1.10,0.54,7.79,2658
2459761.848419,0.91958,0.00697,1.2417,-2.58,-1.62,9.89,1975
2459761.848839,0.92307,0.00632,1.2434,0.82,0.01,8.59,2411
2459761.849247,0.93300,0.00614,1.2452,-2.42,0.77,8.15,2795
2459761.849654,0.92497,0.00632,1.2470,5.01,-0.29,8.19,2409
2459761.850072,0.92901,0.00728,1.2488,-1.56,0.05,11.58,1505
2459761.850477,0.92427,0.00707,1.2506,0.47,0.36,10.75,1744
2459761.850883,0.94191,0.00730,1.2524,-0.93,-2.33,11.33,1657
2459761.851329,0.93037,0.00626,1.2543,-0.95,-0.85,8.19,2539
2459761.851738,0.93506,0.00634,1.2562,-0.63,0.29,8.13,2491
2459761.852146,0.92591,0.00619,1.2580,-0.67,1.15,7.93,2840
2459761.852564,0.93163,0.00700,1.2599,4.51,0.61,10.14,1826
2459761.852969,0.93282,0.00686,1.2617,-0.10,-0.17,9.46,1780
2459761.853379,0.93455,0.00652,1.2636,0.73,-1.43,8.84,2118
2459761.853786,0.93592,0.00694,1.2655,-2.28,-1.16,10.23,1834
2459761.854229,0.94019,0.00676,1.2675,0.04,-1.73,10.31,2058
2459761.854646,0.94076,0.00687,1.2695,-0.44,1.23,9.42,1994
2459761.855052,0.94248,0.00712,1.2714,-1.11,0.68,10.51,1675
2459761.855457,0.94481,0.00702,1.2733,3.02,0.26,9.72,1983
2459761.855875,0.93697,0.00706,1.2753,0.94,-0.15,9.40,1819
2459761.856282,0.94103,0.00752,1.2772,0.61,0.56,10.81,1651
2459761.856700,0.95260,0.00710,1.2792,-2.60,-1.31,9.25,2044
2459761.857105,0.93241,0.00750,1.2812,-0.44,0.44,10.32,1722
2459761.857511,0.94310,0.00694,1.2832,-0.86,-0.94,9.66,2173
2459761.857931,0.95330,0.00720,1.2852,2.66,0.47,11.69,1804
2459761.858334,0.96124,0.00786,1.2873,1.28,0.22,12.64,1374
2459761.858746,0.96621,0.00694,1.2893,1.83,-0.12,9.32,1990
2459761.859202,0.95935,0.00646,1.2916,-2.11,-1.98,7.63,2616
2459761.859608,0.97168,0.00695,1.2936,-0.98,-0.71,8.97,1839
2459761.860037,0.96957,0.00722,1.2958,-0.86,0.14,10.69,1778
2459761.860442,0.96956,0.00699,1.2979,-0.14,0.38,10.11,1864
2459761.860860,0.96458,0.00730,1.3000,3.61,1.68,10.90,1628
2459761.861265,0.97742,0.00705,1.3021,0.58,0.03,10.59,1898
2459761.861672,0.97397,0.00704,1.3042,0.59,0.03,9.84,1777
2459761.862080,0.97833,0.00676,1.3063,-1.12,-0.88,8.85,1879
2459761.862497,0.98116,0.00711,1.3085,0.44,-0.72,10.31,1880
2459761.862903,0.98369,0.00652,1.3107,-1.09,-0.58,8.35,2263
2459761.863320,0.98417,0.00708,1.3129,-0.77,0.95,10.86,1777
2459761.863719,0.99221,0.00702,1.3151,2.74,1.01,10.11,1925
2459761.864137,0.98399,0.00719,1.3173,0.50,-0.53,10.78,1685
2459761.864543,0.98824,0.00719,1.3195,-0.51,0.19,10.63,1743
